"Family","Genus","Species","Leaf Area","Max. Height","Seed Mass","SLA","Bud Number","Lat. Spread","Offspring","Persistence"
"Asteraceae","Achillea","millefolium","2.674","-0.222","-0.889","1.223",5,1,1,1
"Ranunculaceae","Aconitum","septentrionale","NA","NA","NA","NA",5,0,0,1
"Poaceae","Agrostis","capillaris","2.378","-0.097","-1.222","1.439",5,1,0,1
"Poaceae","Agrostis","mertensii","1.720","-0.523","-0.900","1.312",5,0,0,1
"Lamiaceae","Ajuga","pyramidalis","2.877","-0.602","0.186","1.239",4,0,0,1
"Rosaceae","Alchemilla","alpina","2.579","-0.699","-0.541","1.131",4,0,0,1
"Rosaceae","Alchemilla","sp","3.157","-0.699","-0.541","1.232",NA,NA,NA,NA
"Ranunculaceae","Anemone","nemorosa","3.253","-0.523","0.331","1.367",2,1,0,1
"Asteraceae","Antennaria","dioica","1.873","-0.602","-1.301","1.254",5,1,1,1
"Poaceae","Anthoxanthum","odoratum","2.093","-0.301","-0.311","1.410",5,0,0,1
"Ericaceae","Arctous","alpinus","2.140","-1.301","0.380","1.064",6,1,1,1
"Fabaceae","Astragalus","alpinus","2.389","-0.699","NA","1.376",4,1,0,1
"Poaceae","Avenella","flexuosa","2.393","-0.155","-0.508","1.196",5,1,1,1
"Poaceae","Avenula","pubescens","2.932","0.079","0.284","1.317",5,1,0,1
"Orobanchaceae","Bartsia","alpina","2.424","-0.523","-0.481","1.244",5,1,0,1
"Betulaceae","Betula","nana","1.696","0.000","-0.711","1.112",8,1,0,1
"Polygonaceae","Bistorta","vivipara","2.388","-0.523","0.262","1.193",6,0,0,1
"Ophioglossaceae","Botrychium","lunaria","2.624","-0.824","NA","1.326",1,0,0,1
"Ericaceae","Calluna","vulgaris","2.090","-0.301","-1.612","0.987",8,1,1,1
"Campanulaceae","Campanula","rotundifolia","2.181","-0.301","-1.207","1.317",5,1,0,1
"Brassicaceae","Capsella","bursa-pastoris","3.265","-0.398","-1.020","1.477",3,NA,NA,NA
"Cyperaceae","Carex","atrata","2.677","-0.222","-0.208","1.318",2,0,0,1
